SPECTRUM - MS
20210126_ADHclean.RAW
FTMS + p NSI Full ms [1500.0000-15000.0000]
Scan #: 5-162
RT: 0.13-3.89
AV: 150
Data points: 51817
Mass	Intensity
1534.829927	2.612727
1534.862201	0.025938
1534.894477	0.000000
1534.926753	0.000000
1534.959031	0.000000
1534.991309	1.814387
1535.023589	3.312910
1535.055869	4.033033
1535.088151	3.396916
1535.120434	1.801358
1535.152717	0.020628
1535.185002	0.000000
1535.217287	0.000000
1535.249574	0.000000
1535.281862	0.000000
1535.411022	0.000000
1535.443315	0.000000
1535.475609	0.000000
1535.507904	0.000000
1535.540200	1.337728
1535.572496	2.692250
1535.604794	3.922448
1535.637093	5.151128
1535.669393	5.664789
1535.701694	8.986180
1535.733996	13.201636
1535.766299	15.988173
1535.798603	15.076171
1535.830908	10.665856
1535.863214	4.019397
1535.895521	0.034425
1535.927829	0.000000
1535.960138	0.000000
1535.992448	0.000000
1536.024759	0.000000
1538.872133	0.000000
1538.904535	0.000000
1538.936938	0.000000
1538.969342	0.000000
1539.001747	1.438583
1539.034154	2.988492
1539.066561	3.785996
1539.098969	3.171178
1539.131378	1.565049
1539.163788	0.013669
1539.196199	0.000000
1539.228612	0.000000
1539.261025	0.000000
1539.293439	0.000000
1540.104129	0.000000
1540.136570	0.000000
1540.169012	0.000000
1540.201455	0.000000
1540.233899	1.690199
1540.266344	3.581246
1540.298790	4.881811
1540.331237	4.653670
1540.363685	2.988926
1540.396135	1.067097
1540.428585	0.009063
1540.461036	0.000000
1540.493488	0.000000
1540.525941	0.000000
1540.558396	1.542127
1540.590851	2.997649
1540.623307	3.917217
1540.655765	3.540104
1540.688223	1.993133
1540.720682	0.018730
1540.753143	0.000000
1540.785604	0.000000
1540.818067	0.000000
1540.850530	0.000000
1540.882995	0.000000
1540.915460	0.000000
1540.947927	1.312477
1540.980394	3.585898
1541.012863	5.229427
1541.045333	6.648091
1541.077803	6.464539
1541.110275	5.376008
1541.142748	3.641983
1541.175221	2.221361
1541.207696	0.019613
1541.240172	0.000000
1541.272649	0.000000
1541.305127	0.000000
1541.337606	0.000000
1541.857407	0.000000
1541.889904	0.000000
1541.922401	0.000000
1541.954899	0.000000
1541.987399	1.648745
1542.019899	2.922794
1542.052401	3.516911
1542.084903	2.945060
1542.117407	1.498056
1542.149911	0.013275
1542.182417	0.000000
1542.214923	0.000000
1542.247431	0.000000
1542.279940	0.000000
1542.312449	0.000000
1542.344960	0.000000
1542.377472	0.000000
1542.409985	2.134540
1542.442499	3.195685
1542.475013	3.509903
1542.507529	2.947243
1542.540046	1.813908
1542.572564	0.016638
1542.605083	0.000000
1542.637603	0.000000
1542.670124	0.000000
1542.702646	0.000000
1543.385846	0.000000
1543.418391	0.000000
1543.450937	0.000000
1543.483484	0.000000
1543.516031	1.646741
1543.548580	3.311004
1543.581130	3.966395
1543.613681	4.611103
1543.646233	4.939727
1543.678786	5.265007
1543.711339	5.061706
1543.743894	4.852791
1543.776450	4.122690
1543.809007	3.387039
1543.841566	3.258523
1543.874125	3.136316
1543.906685	4.136410
1543.939246	6.554246
1543.971808	8.430460
1544.004371	9.951414
1544.036936	9.592453
1544.069501	8.045309
1544.102067	7.237581
1544.134634	6.501410
1544.167203	6.538856
1544.199772	6.582029
1544.232343	7.263069
1544.264914	10.446304
1544.297487	10.837651
1544.330060	10.448267
1544.362635	8.510158
1544.395210	6.183236
1544.427787	2.105604
1544.460364	0.016322
1544.492943	0.000000
1544.525523	0.000000
1544.558103	0.000000
1544.590685	0.000000
1544.818786	0.000000
1544.851376	0.000000
1544.883967	0.000000
1544.916559	0.000000
1544.949153	1.664931
1544.981747	3.220845
1545.014342	4.081803
1545.046938	3.588307
1545.079535	2.057729
1545.112134	0.017650
1545.144733	0.000000
1545.177333	0.000000
1545.209935	0.000000
1545.242537	0.000000
1545.372957	0.000000
1545.405564	0.000000
1545.438173	0.000000
1545.470782	0.000000
1545.503393	1.362489
1545.536005	2.820060
1545.568618	3.837278
1545.601231	3.711413
1545.633846	2.480808
1545.666462	0.021161
1545.699079	0.000000
1545.731697	0.000000
1545.764315	4.149193
1545.796935	7.496806
1545.829556	8.690090
1545.862178	6.785997
1545.894801	3.104945
1545.927425	0.026884
1545.960050	1.240192
1545.992677	3.978089
1546.025304	6.228477
1546.057932	7.122423
1546.090561	6.765914
1546.123191	4.863949
1546.155823	5.326659
1546.188455	4.817234
1546.221088	4.297923
1546.253723	3.168565
1546.286358	2.033107
1546.318995	1.020073
1546.351632	0.008224
1546.384271	0.000000
1546.416910	0.000000
1546.449551	0.000000
1546.482192	0.000000
1547.592623	0.000000
1547.625301	0.000000
1547.657980	0.000000
1547.690660	0.000000
1547.723340	3.605446
1547.756022	33.713649
1547.788705	67.377300
1547.821389	88.502646
1547.854074	83.333045
1547.886761	55.882616
1547.919448	20.076890
1547.952136	3.886260
1547.984825	59.766030
1548.017515	160.831811
1548.050207	248.800782
1548.082899	276.685413
1548.115592	226.541917
1548.148287	132.257558
1548.180982	38.108092
1548.213679	39.905386
1548.246376	159.240595
1548.279075	297.676278
1548.311774	394.929173
1548.344475	388.419364
1548.377176	276.897440
1548.409879	132.468662
1548.442583	26.297588
1548.475288	70.262253
1548.507993	202.272840
1548.540700	320.076573
1548.573408	376.618416
1548.606117	321.587403
1548.638827	202.628266
1548.671538	79.547433
1548.704250	22.950034
1548.736963	95.570909
1548.769677	212.096781
1548.802392	303.819512
1548.835108	314.799896
1548.867825	237.809884
1548.900544	123.110213
1548.933263	28.111060
1548.965983	17.817225
1548.998704	75.456805
1549.031427	127.404425
1549.064150	151.218261
1549.096875	133.376687
1549.129600	85.323488
1549.162327	25.091526
1549.195054	1.522665
1549.227783	4.539502
1549.260512	14.359552
1549.293243	21.946785
1549.325975	23.951754
1549.358708	19.196314
1549.391441	10.584126
1549.424176	0.078878
1549.456912	0.000000
1549.489649	0.000000
1549.522387	1.697094
1549.555126	2.914514
1549.587866	3.385857
1549.620607	2.775710
1549.653349	1.478335
1549.686092	0.010853
1549.718836	0.000000
1549.751581	1.507843
1549.784328	6.903676
1549.817075	10.627452
1549.849823	11.253596
1549.882572	8.280600
1549.915323	3.614446
1549.948074	0.027385
1549.980827	0.000000
1550.013580	0.000000
1550.046335	0.000000
1550.079090	0.000000
1550.111847	0.000000
1550.144605	0.000000
1550.177363	1.584039
1550.210123	2.891721
1550.242884	3.488607
1550.275646	4.819941
1550.308408	6.876848
1550.341172	8.297393
1550.373937	11.112798
1550.406703	12.917917
1550.439470	12.989722
1550.472238	13.108259
1550.505007	17.101141
1550.537777	19.422546
1550.570548	22.397238
1550.603321	24.351132
1550.636094	32.478848
1550.668868	39.426383
1550.701643	55.024018
1550.734420	77.707092
1550.767197	101.127040
1550.799976	116.911607
1550.832755	112.799618
1550.865536	98.078849
1550.898317	74.414818
1550.931100	57.292839
1550.963883	45.265218
1550.996668	36.755129
1551.029454	29.238273
1551.062240	21.381992
